forward, 0.0, 1.5, -1.0, -0.54, 0.0, 0.0, 
startFlat, 0.0, 0.0, -0.005, -0.074, 0.0, 0.0, 
search, 0.0, 0.0, -0.005, -0.5, 0.0, 0.0, 
show_left, -1.0, 0.9, -1., -0.3, 0.0, 0.0, 
show_mid, 0.0, 0.9, -1.2, 0.3, 0.0, 0.0, 
show_right, 1.0, 0.9, -1., -0.3, 0.0, 0.0, 
5kg1, 0.661051, 3.010641, -2.885593, -0.233059, 0.0, 0.0, 
5kg2, -0.495523, 3.122645, -2.856166, -0.406859, 0.0, 0.0, 
mh1, 2.617994, 0.084000, -2.755093, 1.470296, 1.454343, 2.645527, 
mh2, -2.485994, 2.451000, -0.102000, -1.611829, -1.421343, -2.265473, 
01, 0.028072, 0.343213, -0.010000, -0.073124, 0.084670, -0.016248,
02, 2.024087, 0.760020, -0.816744, -1.190535, 1.175596, 2.064632, 
03, -1.740466, 2.731333, -2.161190, 0.806278, -0.889325, -2.529499, 